permitnumber,permittype,permitdescription,typeofwork,approvedscopeofwork,status,commercialorresidential,address,zip,council_district,contractorname,contractoraddress1,contractorcity,contractorstate,contractorzip,opa_owner,permitissuedate,matched_trades
EP-2026-006140,Electrical,Electrical Permit,Addition and/or Alteration,"Work includes a new  600-amp electrical service, tenant and house distribution panels, branch circuit wiring, lighting, receptacles, dedicated equipment circuits, HVAC and water heater power connections, emergency and exit lighting, smoke/CO alarms, and a complete fire alarm system with all associated equipment and devices. ALL WORK PER APPROVED PLANS. FUTURE TENANT FIT-OUT WILL REQUIRE A SEPARATE PERMIT AND UPDATED SERVICE LOAD CALCULATION. ",Issued,Commercial,833-35 N 2ND ST,19123-3009,1,EAGLE ELECTRICAL CONSTRUCTION CO INC,"EAGLE ELECTRICAL CONSTRUCTION CO INC
2521 EAST CLEARFIELD STREET
PHILADELPHIA, PA  19134
USA",,,,BATE BUILDERS LLC,2026-09-21T04:00:00Z,hvac;commercial_fitout
CP-2026-003227,Building,Commercial Building Permit,Addition and/or Alteration,FOR A FACADE REPAIR TO AN EXISTING STRUCTURE. **ALL WORK TO BE DONE PER APPROVED PLANS.** IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK**IEBC 2021**,Issued,Commercial,130 SPRUCE ST,19106-4319,1,ARMOR MASONRY RESTORATION INC,"ARMOR MASONRY RESTORATION INC
105 JESSUP ROAD
SUITE 100
THOROFARE, NJ  08086
USA",,,,,2026-09-21T04:00:00Z,commercial_fitout
FP-2026-001700,Fire Suppression,Fire Suppression Permit,Addition and/or Alterations,"EZ KITCHEN FIRE SUPPRESSION- For the installation of New Wet Chemical Kitchen Fire Suppression System as per attached standard. Deviations from these standards require submission of construction and site plans.

Install kitchen fire suppression system for commercial kitchen exhaust hood",Issued,Commercial,625-27 S 6TH ST,19147-2128,1,TER-PRO LLC,"TER-PRO LLC
73330 TULIP STREET
PHILADELPHIA, PA  19136
USA",,,,6TH & BAINBRIDGE LLC,2026-09-21T04:00:00Z,kitchen_bath;commercial_fitout
CP-2026-004634,Building,Commercial Building Permit,Addition and/or Alteration,FOR LEVEL I INTERIOR ALTERATIONS WORK INCLUDING MINOR STRUCTURAL WORK TO AN EXISTING HOSPITAL BUILDING PER APPROVED PLANS AND PER PA DOH APPROVAL. SEPARATE PERMITS REQUIRED FOR ANY MEP/ FIRE SUPPRESSION WORK.,Issued,Commercial,3800 POWELTON AVE,19104-5104,3,HSC BUILDERS & CONSTRUCTION,"HSC BUILDERS & CONSTRUCTION
304 New Mill Lane
Exton, PA  19341
USA",,,,"PRESBYTERIAN MEDICAL CENT, PENN PRESBYTERIAN MEDICAL",2026-09-21T04:00:00Z,commercial_fitout
AP-2026-006906,Administrative,Administrative Permit,Certificate of Occupancy (CO) (may include LO),FOR A CERTIFICATE OF OCCUPANCY FOR A GROUP CHILD CARE (GROUP E) - NOT TO EXCEED 12 CHILDREN RECEIVING CARE ON THE FIRST FLOOR OF A MIXED-USE COMMERCIAL/RESIDENTIAL BUILDING. NO ALTERATIONS WORK UNDER THIS PERMIT.,Issued,,4437 FRANKFORD AVE,19124-3636,7,,,,,,BOURAS ZINEDDINE,2026-09-21T04:00:00Z,commercial_fitout
FP-2026-001968,Fire Suppression,Fire Suppression Permit,Rough-In,"Rough-In Permit for FP-2026-001952 

DEMO WET SPRINKLER SYSTEM ON LOWER LEVEL. INSTALL NEW WET SPRINKLER PIPING & HEADS TO ACCOMMODATE NEW FITOUT AND CEILINGS AS PER NFPA 13 AND LOCAL CODES",Issued,Commercial,3701 SPRUCE ST,19104-4108,3,A & S SPRINKLER CO INC,"A & S SPRINKLER CO INC
101 East Laurel Avenue
Cheltenham, PA  19012
USA",,,,TRS UNIV OF PENN,2026-09-21T04:00:00Z,demolition;commercial_fitout
CP-2026-002545,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL II ALTERATIONS TO AN EXISTING STRUCTURE. ALTERATIONS TO INCLUDE PARTIAL DEMOLITION AND THE ERECTION OF PARTITION WALLS, 
 PROVIDE FINISHES/FURNISHINGS AND ACCESSIBILITY IMPROVEMENTS THROUGHOUT.  FOR USE AS PREVIOUSLY APPROVED. ALL WORK TO BE DONE PER APPROVED PLANS. 
",Issued,Commercial,9475-95 E ROOSEVELT BLVD,19114-2212,6,REMODELING CONCEPTS,"REMODELING CONCEPTS
1095 Wood Lane
Langhorne, PA  19047
USA",,,,GRANT ONE ASSOCIATES L P,2026-09-21T04:00:00Z,demolition;commercial_fitout
CP-2026-005456,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL II INTERIOR ALTERATIONS WITHOUT A CHANGE IN EXISTING GROUP S-1 USE AND OCCUPANCY CLASSIFICATION TO SUB-DIVIDE AN EXISTING WAREHOUSE INTO MULTIPLE STORAGE SPACES. EXISTING BUILDING IS FULLY SPRINKLERED. ALL WORK TO BE DONE PER APPROVED PLANS AND IN ACCORDANCE WITH 2021 IEBC. SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING, AND FIRE SUPPRESSION WORK.",Issued,Commercial,4000 S 26TH ST,19112-1613,2,KELLER & CO INC,"KELLER & CO INC
528 SWEDE ST
NORRISTOWN, PA  19401
USA",,,,L/S 26TH STREET NORTH LP,2026-09-21T04:00:00Z,commercial_fitout
CP-2026-001204,Building,Commercial Building Permit,Addition and/or Alteration,"**2018 IEBC REVIEW** FOR LEVEL II ALTERATIONS & CHANGE OF OCCUPANCY TO AN EXISTING COMMERCIAL BUILDING FOR USE AS AN APARTMENT BUILDING WITH FOUR (4) DWELLING UNITS (R-2 OCCUPANCY), ALTERATIONS TO INCLUDE THE ERECTION OF PARTITION WALLS, PROVIDE FINISHES/FURNISHINGS AND ACCESSIBILITY IMPROVEMENTS THROUGHOUT. ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. SEPARATE PERMITS TO BE OBTAINED FOR ALL OTHER WORK. ** PERMIT INCLUDES WORK TO BE LEGALIZED **
**ENTIRE BUILDING TO BE FULLY SPRINKLERED IN ACCORDANCE WITH NFPA 13R (MIN)**",Issued,Commercial,1515 W LEHIGH AVE,19132-2215,8,Shay Argaman,"Shay Argaman
3025 master st
Apt B
Philadelphia, PA  19121
USA",,,,NOEL DORIAN,2026-09-21T04:00:00Z,commercial_fitout
CP-2026-003669,Building,Commercial Building Permit,New Construction,"FOR THE ERECTION OF AN ATTACHED THREE (3) STORY STRUCTURE OF TYPE V-B CONSTRUCTION WITH CELLAR FOR USE AS A FOUR (4) FAMILY DWELLING (GROUP R-2). BUILDING TO BE FULLY SPRINKLERED PER NFPA 13R. ALL WORK TO BE DONE PER APPROVED PLANS AND IN ACCORDANCE WITH 2018 IBC. SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING, FIRE SUPPRESSION, AND EXCAVATION WORK.",Issued,Commercial,3014 DIAMOND ST,19121-1110,5,Michael D Link,"Michael D Link
4130 Ridge Ave.
Suite 18522
Philadelphia, PA  19129
USA",,,,PHILLY AUCTIONS LLC,2026-09-21T04:00:00Z,new_construction;commercial_fitout
PP-2026-008946,Plumbing,Plumbing Permit,Alterations,"ALTERATIONS TO MIXED USE BUILDING. INTERIOR INSTALLATION OF DRAINAGE, WASTE, VENT, AND WATER SUPPLY FOR LISTED FIXTURES. ALL MATERIALS SHALL BE METALLIC TO ROOF EXTENSION FOR PIPING SERVING FIXTURES IN COMMERCIAL SPACES. VENTING TO BE DESIGNED AND INSTALLED IN ACCORDANCE WITH SECTION 919 PHILADELPHIA SINGLE STACK VENT SYSTEM. ALL WORK TO BE INSTALLED IN STRICT COMPLIANCE WITH 2018 PPC AND APPROVED PLANS",Issued,Commercial,833-35 N 2ND ST,19123-3009,1,SHEGDA CONSTRUCTION CORP,"SHEGDA CONSTRUCTION CORP
2506 E CUMBERLAND ST
PHILADELPHIA, PA  19125
USA",,,,BATE BUILDERS LLC,2026-09-21T04:00:00Z,roofing;commercial_fitout
CP-2026-005315,Building,Commercial Building Permit,Commercial Make Safe Permit,"MAKE SAFE PERMIT TO COMPLY WITH CF-2023-066494 TO INCLUDE THE DEMOLITION OF EXISTING RETAING WALL AND THE REMOVAL OF SOIL BEHIND WALLS AND ROUGH GRADE AREA 3:1 SLOPE. AS PER APPROVED PLANS AND IN ACCORDANCE WITH CODE BULLETIN PM-1801.  LICENSED PA PROFESSIONAL ENGINEER IS REQUIRED TO MONITOR REPAIRS MADE UNDER THIS PERMIT.  THE ENGINEER MUST SUBMIT A SEALED STATEMENT TO THE DEPARTMENT CONFIRMING THAT THE STRUCTURE IS IN SOUND CONDITION AT COMPLETION.  SEPARATE PERMITS REQUIRED FOR ADDITIONAL ALTERATIONS NOT ADDRESSED IN APPROVED PLANS. 
*PROTECTION OF PEDESTRIANS, PUBLIC RIGHT-OF-WAY, AND ADJACENT PROPERTIES TO BE IN PLACE PRIOR TO START OF WORK.*
*SEPARATE STREETS DEPARTMENT APPROVAL REQUIRED FOR RIGHT-OF-WAY ENCROACHMENT OR CLOSURE. * ",Issued,Commercial,4310 HAVERFORD AVE,19104-1324,3,BILLY BOY CONTTACTING LLC,"BILLY BOY CONTTACTING LLC
620 Allendale Rd #80678
Valey Forge, PA  19484
USA",,,,CITY OF PHILA,2026-09-21T04:00:00Z,demolition;commercial_fitout
MP-2026-005049,Mechanical,Mechanical / Fuel Gas Permit,Addition and/or Alterations,FOR INSTALLATION OF TYPE-1 COMMERCIAL KITCHEN EXHAUST HOOD PER APPROVED PLANS AND MANUFACTURER'S SPECIFICATIONS.,Issued,Commercial,5052-56 CITY AVE,19131-1441,4,EAST COAST BUSINESS FIRE INC,"EAST COAST BUSINESS FIRE INC
1104 A BUTTONWOOD STREET
PHILADELPHIA, PA  19123
USA",,,,CELIK PLAZA LLC,2026-09-21T04:00:00Z,kitchen_bath;commercial_fitout
CP-2026-002637,Building,Commercial Building Permit,Addition and/or Alteration,"LEVEL II ALTERATIONS (NO CHANGE OF OCCUPANCY) AND THE ERECTION OF A THREE-STORY HORIZONTAL ADDITION TO AN EXISTING EDUCATIONAL FACILITY TO INCLUDE PARKING AREA AS PER APPROVED PLANS AND BBS VARIANCE MI-2026-001758. ADDITION TO BE FULLY SPRINKLERED AND INCLUDE STANDPIPES. SEE PERMIT SP-2026-000710 FOR ASSOCIATED EXCAVATION WORK AND PERMIT SP-2026-000807 FOR FOUNDATION WORK. *2018 IEBC REVIEW*
**SEPARATE PERMITS REQUIRED FOR MEP & FIRE SUPPRESSION WORK**",Issued,Commercial,302-12 N 13TH ST,19107,1,INTECH CONSTRUCTION LLC,"INTECH CONSTRUCTION LLC
3020 MARKET ST
6TH FLR
PHILADELPHIA, PA  19104
USA",,,,,2026-09-21T04:00:00Z,commercial_fitout
CP-2026-004662,Building,Commercial Building Permit,Addition and/or Alteration,**2021 IEBC REVIEW** INTERIOR ALTERATION FOR THE CHANGE OF OCCUPANCY (GROUP B SELF LAUNDROMAT) TO AN EXISTING TENANT SPACE. ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. SEPARATE PERMITS TO BE OBTAINED FOR ALL OTHER WORK.,Issued,Commercial,600-02 E CHELTEN AVE,19144-1205,8,DING'S REMODELING LLC,"DING'S REMODELING LLC
2114 Friendship St
Philadelphia, PA  19149
USA",,,,600 EAST CHELTEN ASSOC LLC,2026-09-21T04:00:00Z,commercial_fitout
EP-2026-006497,Electrical,Electrical Permit,Addition and/or Alteration,"1000 amp service with 14 meters and sub panels. 
Wiring 12 units and 1 vacant commercial space as per 2017 NEC. 
Fire alarm system installation throughout as per 2016 NFPA 72.",Issued,Commercial,29 N 2ND ST,19106-2214,1,BENG DING,"BENG DING
708 Conshohocken State Rd
Bala Cynwyd, PA  19004
USA",,,,LONG RIVER INVESTMENTS INC,2026-09-21T04:00:00Z,commercial_fitout
CP-2026-005297,Building,Commercial Building Permit,Addition and/or Alteration,FOR THE ALTERATION TO THE TRASH ENCLOSURE FENCE AND EXTERIOR GATE AS PER APPROVED PLAN.,Issued,Commercial,1300-18 WASHINGTON AVE,19147-3626,1,C.H. SCHWERTNER & SON INC,"C.H. SCHWERTNER & SON INC
20 UNION HILL RD BLDG 20
CONSHOHOCKEN, PA  19428
USA",,,,1300 WASHINGTON AVENUE LP,2026-09-21T04:00:00Z,pool_deck_fence;commercial_fitout
ZP-2026-009383,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Two-Family,Issued,Residential,1954 ROWAN ST,19140-1733,8,,,,,,VALDES EDGARDO,2026-09-21T02:41:33Z,commercial_fitout
ZP-2026-009016,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Two-Family,Issued,Residential,1225 S 21ST ST,19146-4347,2,Peter Elsbeck,"Peter Elsbeck
1623 SPRUCE STREET
APT 5
PHILADELPHIA, PA  19103
USA",,,,"ROBINSON DIERDRE L, ROBINSON RENEE F",2026-09-20T13:31:59Z,commercial_fitout
FP-2026-001923,Fire Suppression,Fire Suppression Permit,Addition and/or Alterations,"FOR THE INSTALLATION OF A NEW FIRE SUPPRESSION SYSTEM COMPLYING WITH BOTH NFPA 13 FOR THE COMMERCIAL SPACE AND NFPA 13R FOR THE RESIDENTIAL PORTION OF AN EXISTING STRUCTURE. INSTALLATION  TO INCLUDE 2"" FIRE SERVICE LINE AND 2."" DC WILKINS 950 XLT2 BACKFLOW PREVENTION ASSEMBLY AS PER APPROVED PLANS. ALL WORK SHALL BE PERFORMED BY A FIRE SUPPRESSION CONTRACTOR LICENSED BY THE CITY OF PHILADELPHIA.",Issued,Commercial,4246 LANCASTER AVE,19104-1469,3,Willis Fire Protection ,"Willis Fire Protection 
505 schick rd 
Aston , PA  19014
USA",,,,NEXTRES LLC,2026-09-20T04:00:00Z,commercial_fitout
CP-2026-005286,Building,Commercial Building Permit,Commercial Make Safe Permit,"MAKE SAFE PERMIT TO COMPLY WITH CASE #CF-2025-021163- FORTHE STRUCTURAL REPAIR OF A PORTION OF AN EXISTIG STUCTURE  AS PER ENGINEER'S REPORT AND PLAN.  ABUTTING SIDEWALK MUST BE CLOSED WITH FENCING A MINIMUM OF 6' IN HEIGHT. SEPARATE STREETS DEPARTMENT PERMIT REQUIRED FOR SIDEWALK CLOSURE. A SEPARATE PERMIT IS REQUIRED FOR ANY ADDITIONAL ALTERATIONS THAT ARE NOT SPECIFICALLY ADDRESSED ON CASE #CF-2025-021163. IN ACCORDANCE WITH CODE BULLETIN PM-1801, A PA PROFESSIONAL ENGINEER IS REQUIRED TO MONITOR REPAIRS MADE UNDER THIS PERMIT. THE ENGINEER MUST SUBMIT A SEALED STATEMENT TO THE DEPARTMENT CONFIRMING THAT THE STRUCTURE IS IN SOUND CONDITION AT COMPLETION. **IEBC2021**",Issued,Commercial,2101-07 N BROAD ST,19122-1195,5,JKF Construction Services LLC,"JKF Construction Services LLC
4044 Mechanicsville Rd. 
Doylestown, PA  19802
USA",,,,"BEREAN PRESBYTERIAN, CHURCH",2026-09-20T04:00:00Z,commercial_fitout
ZP-2026-009433,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Two-Family,Issued,Residential,4819 N 15TH ST,19141-2103,8,Oscar  Vladimir Ventura Penalo,"Oscar  Vladimir Ventura Penalo
3237 Wellington st
Philadelphia , PA  19149
USA",,,,CITIZENS BANK NA,2026-09-19T21:32:14Z,commercial_fitout
ZP-2026-007684,Zoning,Zoning Permit,Change of Use,Office - Business and Professional; Assembly and Entertainment - Event Assembly Activity,Issued,Commercial,1318 W CLEARFIELD ST,19132-2423,5,,,,,,,2026-09-19T17:00:41Z,commercial_fitout
ZP-2026-009364,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Multi-Family,Issued,Commercial,3252 RYAN AVE,19136-4319,6,A2 Design Group LLC,"A2 Design Group LLC
5115 Rochelle Avenue
Philadelphia, PA  19128
USA",,,,NORTHEAST CAPITAL ASSOCIA,2026-09-19T01:55:53Z,commercial_fitout
ZP-2026-009344,Zoning,Zoning Permit,Change of Use,Personal Services,Issued,Commercial,447 N 12TH ST,19123-3714,1,AAA FOUNDATION CONSULTING INC.,"AAA FOUNDATION CONSULTING INC.
1009 RACE STREET
PHILADELPHIA, PA  19107
USA",,,,LING KIM Y,2026-09-18T18:57:13Z,commercial_fitout
ZP-2026-009525,Zoning,Zoning Permit,Change of Use,"Wholesale, Distribution, and Storage - Equipment and Materials Storage Yards and Buildings",Issued,Commercial,5901 ELMWOOD AVE,19143-6008,2,JEROME HENRY,"JEROME HENRY
4257 N 16TH ST
PHILADELPHIA, PA  19140
USA",,,,"BIANCO ANTHONY F, BIANCO FRANCIS M",2026-09-18T18:52:22Z,commercial_fitout
ZP-2026-009115,Zoning,Zoning Permit,Change of Use,"Medical, Dental, and Health Practitioner - Sole Medical, Dental, and Health Practitioner",Issued,Commercial,2625 W GIRARD AVE,19130-1333,5,,,,,,"ARCURI BARBARA ANN TR, ARCURI STEPHEN MATTHEW TR",2026-09-18T15:05:17Z,commercial_fitout
ZP-2026-009513,Zoning,Zoning Permit,Change of Use,Residential - Household Living - Single-Family,Issued,Residential,6628 HOLLIS ST,19138-1926,9,GOOD DEAL REMODELING LLP,"GOOD DEAL REMODELING LLP
102 BRIDLE PATH LN
FEASTERVILLE, PA  19053
USA",,,,SHUMAN CHARLES H,2026-09-18T12:48:12Z,commercial_fitout
CP-2026-003920,Building,Commercial Building Permit,Addition and/or Alteration,"FOR LEVEL II INTERIOR ALTERATIONS TO INCLUDE A CHANGE IN OCCUPANCT TO THE 2ND FLOOR LEVEL  OF  AN EXISTING STRUCTURE. EXISTING BUILDING IS FULLY SPRINKLERED. FOR USE AS GROUP LIVING PERSONAL CARE HOME . **ALL WORK TO BE DONE PER APPROVED PLANS AND IN ACCORDANCE WITH 2018 IEBC.** SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING, AND FIRE SUPPRESSION WORK.** IF SITE CONDITIONS VARY, CONTACT DESIGN PROFESSIONAL PRIOR TO START OF WORK.**",Issued,Commercial,2709-11 N BROAD ST,19132-2722,5,TECHNI SYSTEMS INC,"TECHNI SYSTEMS INC
116 Woodview Lane
Cinnaminson,, NJ  08077
USA",,,,PHILADELPHIA SUBURBAN DEVELOPMENT CORPOR,2026-09-18T04:00:00Z,commercial_fitout
CP-2026-001834,Building,Commercial Building Permit,New Construction,"NEW CONSTRUCTION OF A THREE-STORY BUILDING WITH BASEMENT AND PRIVATE ROOF DECK/PILOT HOUSE FOR USE AS FOUR (4) DWELLING UNITS AS PER APPROVED PLANS. WORK TO INCLUDE UNDERPINNING TO BE MONITORED BY A PA LICENSED PE AT ALL TIMES. BUILDING TO BE FULLY SPRINKLERED. *2018 IBC REVIEW*
**SEPARATE PERMITS REQUIRED FOR MEP & FIRE SUPPRESSION WORK**",Issued,Commercial,4226 OTTER ST,19104-1217,3,Philadelphia Modern Build Inc,"Philadelphia Modern Build Inc
810 Clay St
Scranton, PA  18510
USA",,,,"4 CASTLE LLC, YONA CONSTRUCTION LLC",2026-09-18T04:00:00Z,pool_deck_fence;new_construction;commercial_fitout
MP-2026-005084,Mechanical,Mechanical / Fuel Gas Permit,Addition and/or Alterations,FOR A 8' TYPE I COMMERCIAL KITCHEN HOOD INSTALLATION  TO ACCOMMODATE AN EXISTING STRUCTURE.  **SEPARATE PERMIT REQUIRED FOR ANY FIRE SUPPRESSION SYSTEM INSTALLATION** IMC 2021**,Issued,Commercial,4637 FRANKFORD AVE,19124-5803,7,delosrios plumbing inc,"delosrios plumbing inc
1832 Glendale Avenue
Philadelphia, PA  19111
USA",,,,4637 FRANKFORD AQUISITIONS LLC,2026-09-18T04:00:00Z,kitchen_bath;commercial_fitout
EP-2026-007435,Electrical,Electrical Permit,Addition and/or Alteration,"Electrical Permit for combo CP-2026-003931: Install a 400-amp electrical service, including wiring and equipment as required  with four (4) meter packs, including proper grounding and bonding. Install one (1) 100-amp subpanel for the house panel, one (1) 150-amp subpanel for the commercial space, and one (1) 125-amp subpanel for each of the two (2) dwelling units.

Provide electrical wiring throughout the building, including installation of lighting fixtures, switches, exit signs, emergency lighting, telecommunication wiring and receptacles outlets. Install branch circuits to supply power to appliances and HVAC equipment.   Install interconnected smoke and carbon monoxide alarms.    Furnish and install a fire alarm system.
All work shall be performed in accordance with the 2017 NEC, 2016 NFPA 72 and per approved plans.",Issued,Commercial,1606 E PASSYUNK AVE,19148-1122,1,PROMPT PLUMBING MECH CONTR INC,"PROMPT PLUMBING MECH CONTR INC
1427 S 8TH ST
PHILADELPHIA, PA  19147
USA",,,,SOUTH LIGHT INVESTMENT INC,2026-09-18T04:00:00Z,hvac;commercial_fitout
CP-2026-003236,Building,Commercial Building Permit,Addition and/or Alteration,FOR LEVEL III INTERIOR ALTERATIONS FOR THE CHANGE OF OCCUPANCY TO R2 (3 DWELLING UNITS) WITH ACCESSORY STORAGE & UTILITY WITHIN THE BASEMENT OF AN EXISTING THREE STORY BUILDING. ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. SEPARATE PERMITS TO BE OBTAINED FOR ALL OTHER WORK.,Issued,Commercial,3226 POWELTON AVE,19104-2723,3,DR BUILDERS 35 LLC,"DR BUILDERS 35 LLC
2555 E THOMPSON ST
Philadelphia, PA  19125
USA",,,,DREXEL LIVING LLC,2026-09-18T04:00:00Z,commercial_fitout
